epoch,acc,loss,val_acc,val_loss
0,0.7723880410194397,1.7001453638076782,0.8610629439353943,0.47481247782707214
1,0.90982586145401,0.3005877137184143,0.865395724773407,0.4267871081829071
2,0.9402984976768494,0.19339154660701752,0.9734257459640503,0.08011175692081451
3,0.9637748599052429,0.10199553519487381,0.9748700261116028,0.07479068636894226
4,0.9709266424179077,0.11421847343444824,0.984402060508728,0.051218584179878235
5,0.9847636818885803,0.04644916206598282,0.9748700261116028,0.08702504634857178
6,0.9849191308021545,0.045274704694747925,0.9751588702201843,0.08545982837677002
7,0.9847636818885803,0.056448571383953094,0.9887348413467407,0.04688076674938202
8,0.9894278645515442,0.030543603003025055,0.9861351847648621,0.054312270134687424
9,0.992692768573761,0.025341138243675232,0.9913344979286194,0.028225896880030632
10,0.9958022236824036,0.0121953459456563,0.9927787184715271,0.026949258521199226
11,0.9914489984512329,0.03543633967638016,0.9927787184715271,0.026400823146104813
12,0.9967350959777832,0.008740941062569618,0.9872905611991882,0.047597385942935944
13,0.9922263622283936,0.03509233519434929,0.992201030254364,0.026840193197131157
14,0.9933146834373474,0.0280439555644989,0.992201030254364,0.03037753328680992
15,0.9978233575820923,0.005553909577429295,0.9953783750534058,0.01896989904344082
16,0.9939365386962891,0.020964039489626884,0.993356466293335,0.022317685186862946
17,0.9989116787910461,0.0027904801536351442,0.993934154510498,0.028114819899201393
18,1.0,0.0006057753344066441,0.993934154510498,0.02532038651406765
19,0.9945584535598755,0.02692427858710289,0.9953783750534058,0.01994197629392147
20,0.9968905448913574,0.00826097559183836,0.9647602438926697,0.19323761761188507
21,0.9981343150138855,0.006732667796313763,0.9948006868362427,0.021874479949474335
22,0.9981343150138855,0.004064677748829126,0.9950895309448242,0.02685585618019104
23,0.9945584535598755,0.02633884735405445,0.9916233420372009,0.03617020323872566
24,0.9992226362228394,0.0022076524328440428,0.9948006868362427,0.028512993827462196
25,0.9998445510864258,0.0006753206835128367,0.9953783750534058,0.026848996058106422
26,0.9954912662506104,0.017708251252770424,0.9948006868362427,0.02725554071366787
27,0.9998445510864258,0.0005397321656346321,0.9948006868362427,0.03211181238293648
28,0.9982898235321045,0.004711341578513384,0.993934154510498,0.02379208244383335
29,0.99642413854599,0.01983983814716339,0.993356466293335,0.028393128886818886
